﻿Title:,"Table 5 - Finances and people"
Subtitle:,"Academic years 2015/16 to 2022/23"
Reference ID:,DT042 Table 5
Data source:,HESA
Data source link:,https://www.hesa.ac.uk/data-and-analysis/estates/table-5
Data file canonical link:,https://www.hesa.ac.uk/data-and-analysis/estates/table-5.csv
Licence:,Creative Commons Attribution 4.0 International Licence
Date:,2024
Filters:,Country of HE provider,Choose a value... 
,Region of HE provider,Choose a value... 
,Academic year,2016/17 
Search:,


"UKPRN","HE provider","Total income (£)","Teaching income (£)","Research income (£)","Other non-residential income (£)","Non-residential income total (£)","Total expenditure (£)"
"10007780","SOAS University of London","88,268,000","66,255,000","12,216,000","8,761,000","87,232,000","87,801,000"
"10005700","SRUC","77,114,000","26,350,000","16,936,000","31,720,000","75,006,000","74,246,000"
"10005790","Sheffield Hallam University","268,107,000","240,755,000","12,602,000","10,972,000","264,329,000","270,871,000"
"10007157","The University of Sheffield","623,563,000","322,385,000","198,993,000","62,774,000","584,152,000","633,012,000"
"10006022","Solent University","117,634,000","99,943,000","428,000","3,313,000","103,684,000","112,564,000"
"10007158","The University of Southampton","589,135,000","277,456,000","182,957,000","86,473,000","546,886,000","545,615,000"
"10006299","Staffordshire University","124,057,000","107,366,000","2,190,000","8,326,000","117,882,000","115,313,000"
"10007804","The University of Stirling","117,337,000","69,472,000","18,528,000","10,258,000","98,258,000","117,355,000"
"10037449","University of St Mark and St John","26,394,000","19,997,000","441,000","3,391,000","23,829,000","27,824,000"
"10008010","Stranmillis University College","23,783,000","20,904,000","253,000","540,000","21,697,000","23,812,000"
"10007805","The University of Strathclyde","295,865,000","170,741,000","88,930,000","22,638,000","282,309,000","291,762,000"
"10014001","University of Suffolk","38,452,000","35,592,000","434,000","2,405,000","38,431,000","38,103,000"
"10007159","The University of Sunderland","125,499,000","111,953,000","2,781,000","7,424,000","122,158,000","131,429,000"
"10007160","The University of Surrey","271,788,000","153,026,000","55,253,000","32,483,000","240,762,000","266,570,000"
"10007806","The University of Sussex","287,251,000","179,716,000","49,996,000","22,019,000","251,731,000","270,926,000"
"10007855","Swansea University","278,153,000","161,735,000","56,868,000","34,355,000","252,958,000","259,439,000"
"10007161","Teesside University","135,056,000","114,687,000","3,932,000","11,268,000","129,887,000","131,125,000"
"10008017","Trinity Laban Conservatoire of Music and Dance","25,400,000","17,772,000","342,000","5,486,000","23,600,000","23,741,000"
"10007858","University of Wales Trinity Saint David","119,340,000","95,774,000","763,000","17,085,000","113,622,000","144,870,000"
"10007114","University of the Highlands and Islands","110,242,000","86,495,000","17,464,000","5,924,000","109,883,000","110,814,000"
"10007807","Ulster University","203,219,000","149,945,000","39,038,000","11,746,000","200,729,000","190,137,000"
"10007784","University College London","1,329,560,000","523,374,000","593,913,000","173,130,000","1,290,417,000","1,257,382,000"
"10007793","University of South Wales","184,168,000","153,115,000","5,392,000","17,575,000","176,082,000","178,210,000"
"10007163","The University of Warwick","590,916,000","309,988,000","156,233,000","80,253,000","546,474,000","553,131,000"
"10007164","University of the West of England, Bristol","257,204,000","200,259,000","17,487,000","18,191,000","235,937,000","245,767,000"
"10007800","The University of the West of Scotland","111,859,000","96,237,000","6,909,000","4,166,000","107,312,000","112,946,000"
"10006566","The University of West London","95,865,000","78,752,000","1,079,000","11,573,000","91,404,000","86,645,000"
"10007165","The University of Westminster","205,397,000","172,667,000","10,557,000","12,232,000","195,456,000","207,048,000"
"10003614","The University of Winchester","74,992,000","59,982,000","1,266,000","2,147,000","63,395,000","69,774,000"
"10007166","The University of Wolverhampton","182,197,000","146,739,000","4,474,000","23,290,000","174,503,000","173,819,000"
"10007139","University of Worcester","93,988,000","78,315,000","2,267,000","4,051,000","84,633,000","89,314,000"
"10007833","Wrexham University","35,716,000","28,769,000","717,000","4,558,000","34,044,000","35,124,000"
"10007657","Writtle University College","17,351,000","13,730,000","139,000","1,200,000","15,069,000","18,286,000"
"10007713","York St John University","59,281,000","47,929,000","570,000","1,983,000","50,482,000","57,130,000"
"10007167","The University of York","346,281,000","183,990,000","89,071,000","37,397,000","310,458,000","332,525,000"
